,Event Event ID,Event Event Name,Event Is Archived (Yes / No),Event Start Date,Event End Date,Event Event URL (Backend Link),Event Homepage URL
1,783870,Future Human 2026,No,2026-11-28,2026-11-29,https://accounts.bizzabo.com/129966/events/783870,https://events.bizzabo.com/783870
2,754649,Mindvalley U 2026,No,2026-07-20,2026-08-02,https://accounts.bizzabo.com/129966/events/754649,https://events.bizzabo.com/754649
3,783869,Mindvalley Manifesting Summit 2026,No,2026-05-16,2026-05-17,https://accounts.bizzabo.com/129966/events/783869,https://events.bizzabo.com/783869
4,715283,Dummy Event #01,No,2026-04-01,2026-04-02,https://accounts.bizzabo.com/129966/events/715283,https://events.bizzabo.com/715283
5,754302,Self-Reset 2026,No,2026-01-18,2026-01-18,https://accounts.bizzabo.com/129966/events/754302,https://events.bizzabo.com/754302
6,775920,Mindvalley Spiritual Summit 2025,No,2025-11-22,2025-11-24,https://accounts.bizzabo.com/129966/events/775920,https://events.bizzabo.com/775920
7,737776,Supercoach Summit 2025,No,2025-08-09,2025-08-10,https://accounts.bizzabo.com/129966/events/737776,https://events.bizzabo.com/737776
8,619441,Mindvalley U 2025,No,2025-08-04,2025-08-17,https://accounts.bizzabo.com/129966/events/619441,https://events.bizzabo.com/mvu2025
9,707463,Testing dynamic registration,No,2025-08-01,2025-08-06,https://accounts.bizzabo.com/129966/events/707463,https://events.bizzabo.com/707463
10,713792,Mindvalley Manifesting Summit 2025,No,2025-05-17,2025-05-19,https://accounts.bizzabo.com/129966/events/713792,https://www.mindvalley.com/summit/manifesting
11,724358,Mindvalley Manifesting Summit 2025 - Los Angeles,Yes,2025-05-17,2025-05-19,https://accounts.bizzabo.com/129966/events/724358,https://events.bizzabo.com/724358
12,704464,Stripe Test Event,No,2025-02-24,2025-02-28,https://accounts.bizzabo.com/129966/events/704464,https://events.bizzabo.com/704464
13,658076,Masters of Manifesting,No,2025-01-18,2025-01-19,https://accounts.bizzabo.com/129966/events/658076,https://www.mindvalley.com/masters-of-manifesting
14,670058,Vishen's Birthday Celebration,No,2025-01-14,2025-01-14,https://accounts.bizzabo.com/129966/events/670058,https://events.bizzabo.com/670058
15,683680,Mindvalley Awards Ceremony,No,2025-01-12,2025-01-12,https://accounts.bizzabo.com/129966/events/683680,https://events.bizzabo.com/683680
16,596769,Future Human 2025,No,2025-01-10,2025-01-12,https://accounts.bizzabo.com/129966/events/596769,https://www.mindvalley.com/futurehuman
17,596768,Future Human Festival,Yes,2024-11-08,2024-11-10,https://accounts.bizzabo.com/129966/events/596768,https://events.bizzabo.com/596768
18,643909,Test Event 2 for Product Development Team,No,2024-11-07,2024-11-11,https://accounts.bizzabo.com/129966/events/643909,https://events.bizzabo.com/643909
19,641902,Test Event for Product Development Team,No,2024-10-21,2024-10-27,https://accounts.bizzabo.com/129966/events/641902,https://events.bizzabo.com/641902
20,605817,A-Fest Ibiza 2024,No,2024-10-03,2024-10-07,https://accounts.bizzabo.com/129966/events/605817,https://events.bizzabo.com/605817
21,519412,Mindvalley University Tallinn 2024,No,2024-07-01,2024-07-21,https://accounts.bizzabo.com/129966/events/519412,https://www.mindvalley.com
22,569629,Mindvalley Supercoach Experience 2024,No,2024-06-28,2024-06-30,https://accounts.bizzabo.com/129966/events/569629,https://events.bizzabo.com/569629
23,560278,The Luxury Lifebook Retreat,No,2024-03-06,2024-03-11,https://accounts.bizzabo.com/129966/events/560278,https://www.mindvalley.com/lifebook/retreat
